UID	Locale	Translation
AD	es	Andorra
AD	ca	Andorra
AD	eu	Andorra
AD	ga	Andorra
AD	en	Andorra
AD-02	es	Canillo
AD-02	ca	Canillo
AD-02	eu	Canillo
AD-02	ga	Canillo
AD-02	en	Canillo
AD-03	es	Encamp
AD-03	ca	Encamp
AD-03	eu	Encamp
AD-03	ga	Encamp
AD-03	en	Encamp
ES	es	España
ES	ca	Espanya
ES	eu	Espainia
ES	ga	España
ES	en	Spain
ES-AN	es	Andalucía
ES-AN	ca	Andalucía
ES-AN	eu	Andalucía
ES-AN	ga	Andalucía
ES-AN	en	Andalusia
ES-AN-AL	es	Almería
ES-AN-AL	ca	Almería
ES-AN-AL	eu	Almería
ES-AN-AL	ga	Almería
ES-AN-AL	en	Almería
ES-AN-CA	es	Cádiz
ES-AN-CA	ca	Cádiz
ES-AN-CA	eu	Cádiz
ES-AN-CA	ga	Cádiz
ES-AN-CA	en	Cádiz
ES-AN-CO	es	Córdoba
ES-AN-CO	ca	Córdoba
ES-AN-CO	eu	Córdoba
ES-AN-CO	ga	Córdoba
ES-AN-CO	en	Córdoba
ES-AN-GR	es	Granada
ES-AN-GR	ca	Granada
ES-AN-GR	eu	Granada
ES-AN-GR	ga	Granada
ES-AN-GR	en	Granada
ES-PV	es	País Vasco
ES-PV	ca	País Vasco
ES-PV	eu	Euskal Herria
ES-PV	ga	País Vasco
ES-PV	en	Basque Country
ES-PV-VI	es	Álava
ES-PV-VI	ca	Álava
ES-PV-VI	eu	Álava
ES-PV-VI	ga	Álava
ES-PV-VI	en	Álava
ES-PV-SS	es	Guipúzcoa
ES-PV-SS	ca	Guipúzcoa
ES-PV-SS	eu	Gipuzkoa
ES-PV-SS	ga	Guipúzcoa
ES-PV-SS	en	Guipúzcoa / Gipuzkoa
ES-PV-BI	es	Vizcaya
ES-PV-BI	ca	Vizcaya
ES-PV-BI	eu	Bizkaia
ES-PV-BI	ga	Vizcaya
ES-PV-BI	en	Vizcaya / Bizkaia
ES-CE-001	es	Ceuta
ES-ML-001	es	Melilla
ES-PV-BI-001	es	Abadiño
ES-PV-BI-019	es	Berriz
ES-PV-BI-020	es	Bilbao
ES-PV-BI-020-01	es	Deusto
ES-PV-BI-020-02	es	Uribarri
ES-PV-BI-020-03	es	Otxarkoaga / Txurdinaga
